Name;Birthday;Countries Active;Years Active;Proven Victims;Possible Victims;BirthYear;StartYear;Age At The Start of Killing;Notes;Type;Nickname;Reason;Archetype/Classification;Gender;Victim Age;Victim Gender;Targeted Group Type
Robledo Puch;1/22/1952;Argentina;1971;11;;1952;1971;19;Convicted of 11 murders and multiple other crimes including attempted murder and sexual assault. Sentenced to life imprisonment in 1980.;Sexual Predator, Torturer, Strangler;The Unisex, The Death Angel, The Black Angel;Sexual Assault;Hedonistic - Lust;Female;Adult;Male;None
Adnan ??¬áolak;09.05.1952;Turkey;1992-1995;11;;1952;1992;40;Killed 11 elderly women aged 68 to 95 and raped six others. Sentenced to death but commuted to life in prison after Turkey abolished the death penalty in 2004.;Hate Crime, Rapist, Sexual Predator;Artvin Monster, The Beast of Artvin, Artvin Canavari;Sexual Assault;Hedonistic - Lust;Female;Adult;Female;Elderly
Seisaku Nakamura;;Japan;1938-1942;11;;;1938;;"Teenage serial killer known as the ""Hamamatsu Deaf Killer"" for having being born deaf. Murdered 11 people (including his brother) and attacked many others, among them his father, sister, brother-in-law and nephew. Tried as an adult and executed by hanging";Unknown;Hamamatsu Deaf Killer;Power;Power/Control;Male;Adult;Male;None
Very Idham Henyansyah;02.01.1978;Indonesia;2008 and earlier;11;11;1978;;;"Known as the ""singing serial killer"" and ""Ryan"", the artistic name he adopted while awaiting his execution in prison, where he recorded an album and wrote his autobiography. ""Ryan"" confessed to murdering 11 people including a toddler; 10 of his victims we";Unknown;Singing serial killer, Ryan;Power;Power/Control;Male;Adult;Mixed;None
Francisco de Assis Pereira;11/29/1967;Brazil;1997-1998;11;;1967;1997;30;Rapist and serial killer. He was arrested for the torture, rape and death of 11 women and for assaulting nine in a park in S??¬?o Paulo, Brazil during the 1990s. Pereira found his victims by posing as a talent scout for a modeling agency. Sentenced to 268;Rapist, Torturer, Sexual Predator;O Man??¬≠aco do Parque, The Park Maniac;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Roshu Kha;;Bangladesh;2008;11;;;2008;;Raped and murdered garment workers after being rejected by his lover. Sentenced to death.;Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Chinese Jack the Ripper, The Silver City Serial Killer;11.10.1964;China;1998-2002;11;;1964;1998;34;Killed women and then mutilated their corpses. Executed in 2019.;Rapist, Necrophiliac, Sexual Predator;Chinese Jack the Ripper;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Marie Alexandrine Becker;7/14/1879;Belgium;1933-1936;11;;1879;1933;54;Poisoned wealthy clients while working as a seamstress. Died in prison in 1942.;Unknown;;Financial Gain;Hedonistic;Male;Adult;Mixed;None
Ruslan Khamarov;;Ukraine;2000-2003;11;;;2000;;"Seduced, raped and then killed women in his home; sentenced to life imprisonment.";Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Yevgeny Petrov;12/17/1975;Russia;1998-2003;11;;1975;1998;23;"Pedophile who kidnapped, raped and killed young girls around Novouralsk, mutilating and burning their corpses afterwards; sentenced to life imprisonment.";Pedophile, Rapist, Sexual Predator;Novouralsk Ripper;Sexual Assault;Hedonistic - Lust;Male;Child;Female;None
Rudolf Pleil;07.07.1924;West Germany;1946-1947;10;25;1924;1946;22;Convicted of killing a salesman and nine women. Claimed to have killed 25. Committed suicide by hanging in 1958.;Unknown;"Der Totmacher (""The Deadmaker"")";Femicide;Power and Hedonistic;Male;Adult;Female;None
Milton Johnson;5/15/1950;United States;1983;10;17;1950;1983;33;Killed up to 17 people. Sentenced to life without parole.;Unknown;The Weekend Murderer;Power;Power/Control;Male;Adult;Mixed;None
Long Island serial killer;;United States;1996-2011;10;14;;1996;;"Unidentified serial killer also known as ""The Gilgo Beach Killer"". Believed to have murdered 10 to 14 people associated with the sex trade over a period of 15 years.";Unknown;The Gilgo Beach Killer;Power;Power/Control;Male;Adult;Mixed;None
Daniel Lee Siebert;6/17/1954;United States;1979-1986;10;13;1954;1979;25;"Convicted of a 1979 manslaughter; killed 10 people across America in three months in mid-1980s including two children and a Southside Slayer victim. Sentenced to death; died from cancer in prison in 2008.";Unknown;Southside Slayer (possibly);Power;Power/Control;Male;Child;Male;None
Joseph James DeAngelo;;United States;1979-1986;12;;;1979;;"Top suspect in the murders committed by ""Golden State Killer"", ""Original Night Stalker"", and ""East Area Rapist"". Committed at least 12 murders, 50 rapes, and 120 burglaries across California in the 1970s and 1980s. He was identified and arrested in 2018 a";Rapist, Serial Killer, Sexual Predator;Golden State Killer, Original Night Stalker, East Area Rapist;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Lonnie David Franklin Jr.;8/30/1952;United States;1985-2007;10;25;1952;1985;33;"Known as the ""Grim Sleeper"" for the alleged 14-year hiatus he took from murdering between 1988 and 2002. Shot and strangled his victims, mostly women, around South Los Angeles. Sentenced to death.";Unknown;Grim Sleeper;Femicide;Power and Hedonistic;Male;Adult;Female;None
Sergey Cherny;05.11.1977;Russia;1999;10;11;1977;1999;22;"Strangled women around Smolensk; suspected of the drowning death of another woman; died in 2001 from pneumonia while in a special psychiatric hospital.";Strangler;;Femicide;Power and Hedonistic;Female;Adult;Female;None
Bobby Joe Long;10/14/1953;United States;1984;10;10+;1953;1984;31;Killed 10 women in Tampa Bay, Florida in 1984. Sentenced to death. Executed by lethal injection on 23 May 2019.;Unknown;The Classified Ad Rapist;Femicide;Power and Hedonistic;Male;Adult;Female;None
Stewart Wilken;11.11.1966;South Africa;1990-1997;10;10+;1966;1990;24;Wilken's raped sodomised and murdered ten victims on the east coast of South Africa. Wilken's committed acts of cannibalism and necrophilia during his crimes. Wilken's was reported to have cut off and ate a nipple of one of his victims. One of his victims;Cannibal, Rapist, Torturer, Cannibal, Necrophiliac, Strangler, Sexual Predator;Boetie Boer, Brother Farmer;Cannibalism, Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
David Randitsheni;;South Africa;2004-2008;10;10+;;2004;;"Kidnapped 19 people, raped 17, and murdered 10. Sentenced to 16 consecutive life sentences plus 220 years in prison; hanged himself three weeks after conviction.";Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Edmund Kemper;12/18/1948;United States;1964-1973;10;;1948;1964;16;At age 15, he confessed to murdering his grandparents and served six years as a criminally insane juvenile. He was released in 1969. In 1972 and 1973, he murdered and dismembered six young women, then killed his mother and her friend. He was sentenced to ;Cannibal, Rapist, Cannibal, Necrophiliac, Strangler, Sexual Predator;The Co-ed Butcher, The Co-ed Killer;Cannibalism, Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Dennis Rader;03.09.1945;United States;1974-2004;10;;1945;1974;29;Rader gave himself the name BTK standing for Bind, Torture, Kill. He murdered ten people in Sedgwick County (in and around Wichita), Kansas, between 1974 and 1991. During his spree he sent letters to the police and newspapers describing the details of his;Torturer, Strangler, Stalker;BTK Killer, Bind Torture Kill;Sadistic Behavior;Hedonistic - Thrill;Male;Adult;Male;None
Ali Kaya;;Turkey;1997-present;10;;;1997;;Responsible for 10 murders. Escaped from prison and later recaptured.;Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Robert Wagner;;Australia;1992-1999;10;;;1992;;"Secondary ringleader in the Snowtown murders and best friend of John Justin Bunting; sentenced to 10 consecutive life sentences without the possibility of parole.";Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Jeanne Weber;10/7/1874;France;1905-1908;10;;1874;1905;31;Transient baby-sitter who strangled children in her care. Declared insane. Hanged herself in prison in 1918.;Strangler;The Ogress, Madame Moulinet;Power;Power/Control;Female;Child;Mixed;None
Henry Louis Wallace;11.04.1965;United States;1990-1994;9;10;1965;1990;25;Wallace confessed to the murders of ten women in Charlotte, North Carolina. He would rape strangle or stab his victims prior to murdering them. Wallace was a supervisor at Taco Bell, some of his victims were his employees at Taco Bell in Charlotte, North ;Rapist, Strangler, Stalker, Sexual Predator;The Taco Bell Strangler;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Angelo Buono Jr.;10.05.1934;United States;1977-1979;10;;1934;1977;43;"Convicted of strangling 10 women. One of the ""Hillside Stranglers"". Died in prison from a heart attack in 2002.";Rapist, Torturer, Strangler, Sexual Predator;"One of the ""Hillside Stranglers""";Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Satish;;India;1995-1998;10;;;1995;;Vampire, Rapist, Cannibal, Necrophiliac, Torturer;Cannibal, Sexual Predator, Vampire;;Cannibalism, Vampirism;Hedonistic;Male;Adult;Mixed;None
Zhou Kehua;02.06.1970;China;2004-2012;10;10;1970;2004;34;A former soldier who targeted ATM users. He killed 10 people and evaded the law for eight years, before being shot in a shootout with police after a year-long manhunt.;Unknown;;Power;Power/Control;Male;Adult;Male;None
Kang Ho-sun;10.10.1969;South Korea;2006-2008;10;;1969;2006;37;Sentenced to death in 2010 for killing 10 women, including his wife and mother-in-law.;Rapist, Strangler, Sexual Predator;the gyeongsangnam-do serial killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Eduard Shemyakov;9/30/1975;Russia;1996-1998;10;;1975;1996;21;"Ukrainian who raped, killed and dismembered women in St. Petersburg, supposedly cannibalizing one of the victims; sentenced to compulsory treatment.";Cannibal, Rapist, Sexual Predator;"The ""Resort Maniac""";Cannibalism, Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Oleg Kuznetsov;4/30/1969;Soviet Union?Ç¬†Russia?Ç¬†Ukraine;1991-1992;10;;1969;1991;22;"Robbed, raped and killed people around Russia and Ukraine; sentenced to death but commuted to life imprisonment.";Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Stanislav Rogolev;2/14/1941;Soviet Union;1980-1982;10;;1941;1980;39;"Killed and raped women, managing to avoid capture through suspected knowledge of the investigation against him; executed by firing squad in 1984.";Financial Motive, Rapist, Sexual Predator;Agent 000;Financial Gain, Sexual Assault;Hedonistic;Male;Adult;Female;None
Volker Eckert;07.01.1959;West Germany?Ç¬†Germany?Ç¬†France?Ç¬†Spain?Ç¬†Czech Republic (suspected)?Ç¬†Italy (suspected);1974-2006;wrz.13;19+;1959;1974;15;German trucker who confessed to having abducted, tortured and killed five prostitutes through his route in Western Europe, plus strangling a 14-year-old girl in his native West Germany in 1974, when he was 15. Police considered him perpetrator of nine mur;Hate Crime, Torturer, Strangler;Brummi Killer;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Male;Adult;Female;None
Louis van Schoor;;South Africa;1986-1989;9;100;;1986;;"Former security guard who was convicted of seven murders and two assassinations, but confessed to a reporter that he murdered 100 people; sentenced to 20 years in prison and released on parole in 2004.";Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Peter K??¬?rten;5/26/1883;German Empire?Ç¬†Weimar Germany;1913-1930;9;79;1883;1913;30;"Charged with nine murders and seven attempted murders. Dubbed ""The Vampire of D??¬?sseldorf"" by the contemporary media. Executed by guillotine in 1931.";Vampire;The Vampire of D??¬?sseldorf;Vampirism;Hedonistic;Male;Adult;Mixed;None
Roger Dale Stafford;11.04.1951;United States;1974-1978;9;34;1951;1974;23;"Killed nine people in two states, including a family of three; his wife implicated him in 34 total murders in different states; executed by lethal injection in 1995.";Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Norman Afzal Simons;01.12.1967;South Africa;1986-1994;9;22;1967;1986;19;Convicted of only one of 22 cases of murder and sodomy of young children near Cape Town. Sentenced to imprisonment for life.;Strangler, Pedophile;Station Strangler;Pedophilia;Power/Control;Male;Child;Male;None
Francis Heaulme;2/25/1959;France;1984-1992;9;20;1959;1984;25;"Convicted of killing nine people, but suspected in the murder of dozens. He is known as the ""Criminal Backpacker"" due to his travels throughout France. He left a trail of bodies wherever he went.";Rapist, Strangler, Sexual Predator;Criminal Backpacker;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Joel Rifkin;1/20/1959;United States;1989-1993;9;17;1959;1989;30;"Killed prostitutes in New York City, most of them drug addicts. Convicted of nine murders but believed to have committed 17; also suspected of being the unidentified Long Island serial killer. Sentenced to 203 years to imprisonment for life.";Hate Crime, Strangler;The Drifter, Joel the Ripper;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Male;Adult;Female;None
Dagmar Overbye;4/23/1887;Denmark;1913-1920;9;15;1887;1913;26;Murdered between nine and 25 children??, of which one was her own during a seven-year period. In 1921, she was sentenced to death in one of the most talked about trials in Danish history, that changed legislation on childcare. The sentence was later commu;Strangler;Englemagersken;Power;Power/Control;Male;Child;Mixed;None
Kenneth McDuff;3/21/1946;United States;1966-1992;9;14+;1946;1966;20;Death sentence for 1966 triple-murder was commuted. Killed again three days after 1989 parole and 10 further times in Waco, Texas until 1992. Executed by lethal injection in 1998.;Financial Motive;The Broomstick Killer;Financial Gain;Hedonistic;Female;Adult;Mixed;None
Robert Joseph Silveria Jr.;03.03.1959;United States;1981-1996;9;14+;1959;1981;22;Freight train rider convicted of beating to death fellow transients and confessed to dozens more.;Unknown;The Boxcar Killer;Power;Power/Control;Male;Adult;Mixed;None
Richard Biegenwald;8/24/1940;United States;1958-1983;9;11+;1940;1958;18;Killed at least nine people in Monmouth County, New Jersey and is suspected in at least two other murders. Died of respiratory and kidney failure in 2008.;Rapist, Sexual Predator;The Thrill Killer;Sexual Assault;Hedonistic - Lust;Female;Adult;Mixed;None
Alexander Bychkov;04.01.1988;Russia;2009-2012;9;11;1988;2009;21;Described in his personal diary how he killed 11 men who were alcoholics and tramps. Confessed to eating body parts of his victims. Found guilty of nine murders and sentenced to life imprisonment.;Cannibal;Belinsky Cannibal;Cannibalism;Hedonistic;Male;Adult;Male;None
New Bedford Highway Killer;;United States;1988-1989;9;11;;1988;;Unidentified serial killer who killed nine women and disappearance of two others between 1988 and 1989.;Unknown;;Femicide;Power and Hedonistic;Female;Adult;Female;None
